day_pt,invite_link,joins,interval_start_timestamp
2026-09-12T00:00:00+00:00,https://discord.gg/2BRstWaNZ,1,2026-09-12T00:00:00+00:00
2026-09-12T00:00:00+00:00,https://discord.gg/2tYaEUeVeX,1,2026-09-12T00:00:00+00:00
2026-09-12T00:00:00+00:00,https://discord.gg/5ySFmUknb,1,2026-09-12T00:00:00+00:00
2026-09-12T00:00:00+00:00,https://discord.gg/9jQXYjYpF,1,2026-09-12T00:00:00+00:00
2026-09-12T00:00:00+00:00,https://discord.gg/AuXwX79Qz,1,2026-09-12T00:00:00+00:00
2026-09-12T00:00:00+00:00,https://discord.gg/C2USx32pvm,1,2026-09-12T00:00:00+00:00
2026-09-12T00:00:00+00:00,https://discord.gg/CyasfRYSbn,2,2026-09-12T00:00:00+00:00
2026-09-12T00:00:00+00:00,https://discord.gg/DQ3nNfc5JE,1,2026-09-12T00:00:00+00:00
2026-09-12T00:00:00+00:00,https://discord.gg/FDEQvV4Yw,1,2026-09-12T00:00:00+00:00
2026-09-12T00:00:00+00:00,https://discord.gg/KUbN8h7hg,1,2026-09-12T00:00:00+00:00
2026-09-12T00:00:00+00:00,https://discord.gg/KuAeN2HXa,1,2026-09-12T00:00:00+00:00
2026-09-12T00:00:00+00:00,https://discord.gg/NxsxCDtDY,1,2026-09-12T00:00:00+00:00
2026-09-12T00:00:00+00:00,https://discord.gg/PhkP3WgY7w,4,2026-09-12T00:00:00+00:00
2026-09-12T00:00:00+00:00,https://discord.gg/T4BgZcnFr,1,2026-09-12T00:00:00+00:00
2026-09-12T00:00:00+00:00,https://discord.gg/T5Xd9XW8c,1,2026-09-12T00:00:00+00:00
2026-09-12T00:00:00+00:00,https://discord.gg/VrNHKRBGP,1,2026-09-12T00:00:00+00:00
2026-09-12T00:00:00+00:00,https://discord.gg/X8KtVj59D,1,2026-09-12T00:00:00+00:00
2026-09-12T00:00:00+00:00,https://discord.gg/XmnqMbUZ7Z,3,2026-09-12T00:00:00+00:00
2026-09-12T00:00:00+00:00,https://discord.gg/aPryCWX4T,1,2026-09-12T00:00:00+00:00
2026-09-12T00:00:00+00:00,https://discord.gg/deutsche-deadlock-community-1289721245281292288,80,2026-09-12T00:00:00+00:00
2026-09-12T00:00:00+00:00,https://discord.gg/pAeveeJXKT,4,2026-09-12T00:00:00+00:00
2026-09-12T00:00:00+00:00,https://discord.gg/r3PzecVg7,1,2026-09-12T00:00:00+00:00
2026-09-12T00:00:00+00:00,https://discord.gg/rp7vMaANc9,1,2026-09-12T00:00:00+00:00
2026-09-12T00:00:00+00:00,https://discord.gg/v8abq8dp5,1,2026-09-12T00:00:00+00:00
2026-09-12T00:00:00+00:00,https://discord.gg/wZjSjktrqk,1,2026-09-12T00:00:00+00:00
2026-09-12T00:00:00+00:00,https://discord.gg/wjDazBWQ,1,2026-09-12T00:00:00+00:00
2026-09-12T00:00:00+00:00,https://discord.gg/z5TfVHuQq2,3,2026-09-12T00:00:00+00:00
